2024-03-04 04:18:49,395 INFO    StreamThr :12268 [internal.py:wandb_internal():86] W&B internal server running at pid: 12268, started at: 2024-03-04 04:18:49.395536
2024-03-04 04:18:49,399 DEBUG   HandlerThread:12268 [handler.py:handle_request():146] handle_request: status
2024-03-04 04:18:49,401 INFO    WriterThread:12268 [datastore.py:open_for_write():87] open: C:\Users\ander\Documents\GitHub\AutoCareHubApp\wandb\offline-run-20240304_041849-i8e6wiwi\run-i8e6wiwi.wandb
2024-03-04 04:18:49,444 DEBUG   HandlerThread:12268 [handler.py:handle_request():146] handle_request: run_start
2024-03-04 04:18:49,465 DEBUG   HandlerThread:12268 [system_info.py:__init__():27] System info init
2024-03-04 04:18:49,465 DEBUG   HandlerThread:12268 [system_info.py:__init__():42] System info init done
2024-03-04 04:18:49,465 INFO    HandlerThread:12268 [system_monitor.py:start():194] Starting system monitor
2024-03-04 04:18:49,466 INFO    HandlerThread:12268 [system_monitor.py:probe():214] Collecting system info
2024-03-04 04:18:49,466 INFO    SystemMonitor:12268 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-04 04:18:49,467 INFO    SystemMonitor:12268 [interfaces.py:start():190] Started cpu monitoring
2024-03-04 04:18:49,474 INFO    SystemMonitor:12268 [interfaces.py:start():190] Started disk monitoring
2024-03-04 04:18:49,475 INFO    SystemMonitor:12268 [interfaces.py:start():190] Started gpu monitoring
2024-03-04 04:18:49,476 INFO    SystemMonitor:12268 [interfaces.py:start():190] Started memory monitoring
2024-03-04 04:18:49,484 DEBUG   HandlerThread:12268 [system_info.py:probe():151] Probing system
2024-03-04 04:18:49,484 INFO    SystemMonitor:12268 [interfaces.py:start():190] Started network monitoring
2024-03-04 04:18:49,492 DEBUG   HandlerThread:12268 [system_info.py:_probe_git():136] Probing git
2024-03-04 04:18:49,544 DEBUG   HandlerThread:12268 [system_info.py:_probe_git():144] Probing git done
2024-03-04 04:18:49,545 DEBUG   HandlerThread:12268 [system_info.py:probe():199] Probing system done
